GeneSetId,GeneCount,Chromosome,RangeStart,RangeEnd,TotalFragments,Duplicates,SupportingTrans,Unspliced,AltSJ,Chimeric,LowMapQual,ForwardStrand,ReverseStrand,Genes
chr3_1251,1,chr3,193740471,193740715,0,0,0,0,0,0,0,0,0,RN7SL447P
chr2_1268,1,chr2,157210847,157211539,0,0,0,0,0,0,0,0,0,CDK7P1
chr9_209,1,chr9,34379019,34397828,0,0,0,0,0,0,0,0,0,C9orf24
chr6_627,5,chr6,43295694,43369647,0,0,0,0,0,0,0,0,0,SLC22A7;CRIP3;ZNF318;RPL12P47;RPS2P28
chr3_1252,1,chr3,193841868,193844024,0,0,0,0,0,0,0,0,0,LINC02038
chr2_1269,2,chr2,157257705,157318491,0,0,0,0,0,0,0,0,0,GALNT5;RN7SKP281
chr9_210,3,chr9,34398184,34520988,0,0,0,0,0,0,0,0,0,FAM219A;DNAI1;RN7SKP24
chr6_628,3,chr6,43427366,43456632,0,0,0,0,0,0,0,0,0,ABCC10;MIR6780B;DLK2
chr3_1253,2,chr3,193957372,194003760,0,0,0,0,0,0,0,0,0,LINC02026;DPPA2P3
chr2_1270,1,chr2,157318631,157327713,0,0,0,0,0,0,0,0,0,ERMN
chr9_211,1,chr9,34521043,34522990,0,0,0,0,0,0,0,0,0,ENHO
chr6_629,1,chr6,43474186,43474292,0,0,0,0,0,0,0,0,0,RNU6-1113P
chr3_1254,1,chr3,194005259,194071025,0,0,0,0,0,0,0,0,0,LINC02028
chr2_1271,1,chr2,157379724,157380414,0,0,0,0,0,0,0,0,0,FAM133DP
chr9_212,2,chr9,34551432,34590140,0,0,0,0,0,0,0,0,0,CNTFR;CNTFR-AS1
chr6_630,1,chr6,43477523,43506556,0,0,0,0,0,0,0,0,0,TJAP1
chr3_1255,1,chr3,194136148,194138732,0,0,0,0,0,0,0,0,0,HES1
chr2_1272,1,chr2,157414619,157488961,0,0,0,0,0,0,0,0,0,CYTIP
chr9_213,1,chr9,34610486,34612104,0,0,0,0,0,0,0,0,0,RPP25L
chr6_631,4,chr6,43506968,43576038,0,0,0,0,0,0,0,0,0,LRRC73;POLR1C;YIPF3;XPO5
chr3_1256,1,chr3,194145674,194145971,0,0,0,0,0,0,0,0,0,RN7SL215P
chr2_1273,1,chr2,157526767,157628864,0,0,0,0,0,0,0,0,0,ACVR1C
chr9_214,1,chr9,34613545,34620523,0,0,0,0,0,0,0,0,0,DCTN3
chr6_632,3,chr6,43576185,43629264,0,0,0,0,0,0,0,0,0,POLH;POLH-AS1;GTPBP2
chr3_1257,2,chr3,194202392,194260720,0,0,0,0,0,0,0,0,0,LINC02036;LINC02037
chr2_1274,1,chr2,157736251,157876330,0,0,0,0,0,0,0,0,0,ACVR1
chr9_215,1,chr9,34621049,34629066,0,0,0,0,0,0,0,0,0,ARID3C
chr6_633,1,chr6,43629540,43640941,0,0,0,0,0,0,0,0,0,MAD2L1BP
chr3_1258,1,chr3,194276682,194287368,0,0,0,0,0,0,0,0,0,LINC02048
chr2_1275,6,chr2,157876702,158136154,0,0,0,0,0,0,0,0,0,UPP2;RNU6-436P;MTA3P1;RNU6-932P;PTP4A1P1;UPP2-IT1
chr9_216,1,chr9,34634722,34637844,0,0,0,0,0,0,0,0,0,SIGMAR1
chr6_634,2,chr6,43645036,43687791,0,0,0,0,0,0,0,0,0,RSPH9;MRPS18A
chr3_1259,1,chr3,194296191,194322871,0,0,0,0,0,0,0,0,0,LINC00887
chr2_1276,4,chr2,158166650,158456753,0,0,0,0,0,0,0,0,0,CCDC148-AS1;CCDC148;HNRNPDLP2;RN7SL393P
chr9_217,1,chr9,34638133,34651035,0,0,0,0,0,0,0,0,0,GALT
chr6_635,1,chr6,43770184,43786487,0,0,0,0,0,0,0,0,0,VEGFA
chr3_1260,1,chr3,194339768,194351328,0,0,0,0,0,0,0,0,0,CPN2
chr2_1277,3,chr2,158456952,158735002,0,0,0,0,0,0,0,0,0,PKP4;RPL7AP22;PKP4-AS1
chr9_218,2,chr9,34652162,34664048,0,0,0,0,0,0,0,0,0,IL11RA;CCL27
chr6_636,1,chr6,43844878,43852317,0,0,0,0,0,0,0,0,0,LINC02537
chr3_1261,1,chr3,194355249,194369743,0,0,0,0,0,0,0,0,0,LRRC15
chr2_1278,3,chr2,158795317,158863285,0,0,0,0,0,0,0,0,0,DAPL1;OR7E89P;OR7E28P
chr9_219,1,chr9,34689570,34691276,0,0,0,0,0,0,0,0,0,CCL19
chr6_637,2,chr6,43931572,44074655,0,0,0,0,0,0,0,0,0,SCIRT;C6orf223
chr3_1262,1,chr3,194394821,194399266,0,0,0,0,0,0,0,0,0,GP5
chr2_1279,1,chr2,158874642,158875670,0,0,0,0,0,0,0,0,0,OR7E90P
chr9_220,1,chr9,34709005,34710136,0,0,0,0,0,0,0,0,0,CCL21
chr6_638,2,chr6,44113451,44155519,0,0,0,0,0,0,0,0,0,MRPL14;TMEM63B
chr2_1280,1,chr2,158935798,158935985,0,0,0,0,0,0,0,0,0,RNU2-21P
chr3_1263,2,chr3,194402672,194521156,0,0,0,0,0,0,0,0,0,ATP13A3;LINC00884
chr9_221,1,chr9,34723053,34729488,0,0,0,0,0,0,0,0,0,FAM205A
chr6_639,1,chr6,44158811,44184401,0,0,0,0,0,0,0,0,0,CAPN11
chr2_1281,5,chr2,158968640,159232659,0,0,0,0,0,0,0,0,0,TANC1;BTF3L4P2;RNU6-580P;GSTM3P2;MIR6888
chr3_1264,1,chr3,194533503,194533583,0,0,0,0,0,0,0,0,0,RNU6-1101P
chr9_222,1,chr9,34832295,34838493,0,0,0,0,0,0,0,0,0,FAM205BP
chr6_640,1,chr6,44209766,44210063,0,0,0,0,0,0,0,0,0,RN7SL811P
chr2_1282,1,chr2,159235798,159286703,0,0,0,0,0,0,0,0,0,WDSUB1
chr3_1265,1,chr3,194562978,194564001,0,0,0,0,0,0,0,0,0,RPL23AP93
chr9_223,1,chr9,34889066,34895764,0,0,0,0,0,0,0,0,0,FAM205C
chr6_641,1,chr6,44216926,44218234,0,0,0,0,0,0,0,0,0,MYMX
chr2_1283,2,chr2,159318979,159616569,0,0,0,0,0,0,0,0,0,BAZ2B;CAPZA1P2
chr3_1266,2,chr3,194583991,194633689,0,0,0,0,0,0,0,0,0,TMEM44-AS1;TMEM44
chr9_224,1,chr9,34917175,34918296,0,0,0,0,0,0,0,0,0,GLULP4
chr6_642,1,chr6,44219553,44234142,0,0,0,0,0,0,0,0,0,SLC29A1
chr2_1284,1,chr2,159689217,159690291,0,0,0,0,0,0,0,0,0,RPS3AP13
chr3_1267,1,chr3,194640791,194672463,0,0,0,0,0,0,0,0,0,LSG1
chr9_225,1,chr9,34922184,34922921,0,0,0,0,0,0,0,0,0,YWHAZP6
chr6_643,1,chr6,44246166,44253888,0,0,0,0,0,0,0,0,0,HSP90AB1
chr2_1285,4,chr2,159712457,159904756,0,0,0,0,0,0,0,0,0,MARCHF7;CD302;LY75-CD302;LY75
chr3_1268,1,chr3,194685883,194689037,0,0,0,0,0,0,0,0,0,FAM43A
chr9_226,1,chr9,34957608,34982544,0,0,0,0,0,0,0,0,0,PHF24
chr6_644,2,chr6,44254096,44257890,0,0,0,0,0,0,0,0,0,SLC35B2;MIR4647
chr2_1286,1,chr2,159932006,160062615,0,0,0,0,0,0,0,0,0,PLA2R1
chr3_1269,2,chr3,194708093,194826008,0,0,0,0,0,0,0,0,0,LINC01968;LINC01972
chr9_227,1,chr9,34985410,34989379,0,0,0,0,0,0,0,0,0,DNAJB5-DT
chr6_645,1,chr6,44258166,44265788,0,0,0,0,0,0,0,0,0,NFKBIE
chr2_1287,1,chr2,160099667,160200313,0,0,0,0,0,0,0,0,0,ITGB6
chr3_1270,6,chr3,195068284,195271159,0,0,0,0,0,0,0,0,0,XXYLT1;XXYLT1-AS1;MIR3137;RN7SL36P;XXYLT1-AS2;RNU6-25P
chr9_228,1,chr9,34989641,34998900,0,0,0,0,0,0,0,0,0,DNAJB5
chr6_646,3,chr6,44270450,44313347,0,0,0,0,0,0,0,0,0,TMEM151B;TCTE1;AARS2
chr2_1288,1,chr2,160257716,160271880,0,0,0,0,0,0,0,0,0,LINC02478
chr3_1271,2,chr3,195274745,195443044,0,0,0,0,0,0,0,0,0,ACAP2;ACAP2-IT1
chr9_229,1,chr9,35010703,35011285,0,0,0,0,0,0,0,0,0,SYF2P2
chr6_647,1,chr6,44342650,44380179,0,0,0,0,0,0,0,0,0,SPATS1
chr2_1289,2,chr2,160272151,160493807,0,0,0,0,0,0,0,0,0,RBMS1;MIR4785
chr3_1272,2,chr3,195514428,195543386,0,0,0,0,0,0,0,0,0,PPP1R2;RNU6ATAC24P
chr9_230,1,chr9,35041095,35045986,0,0,0,0,0,0,0,0,0,C9orf131
chr6_648,2,chr6,44387706,44450425,0,0,0,0,0,0,0,0,0,CDC5L;MIR4642
chr2_1290,1,chr2,160877547,160877850,0,0,0,0,0,0,0,0,0,RN7SL423P
chr3_1273,1,chr3,195553792,195554043,0,0,0,0,0,0,0,0,0,RN7SL73P
chr9_231,1,chr9,35049271,35049563,0,0,0,0,0,0,0,0,0,RN7SL338P
chr2_1291,2,chr2,161096231,161236230,0,0,0,0,0,0,0,0,0,TANK-AS1;TANK
chr6_649,6,chr6,44809317,45664349,0,0,0,0,0,0,0,0,0,SUPT3H;NUDT19P4;RBM22P4;MIR586;RUNX2;RUNX2-AS1
chr3_1274,1,chr3,195568705,195584033,0,0,0,0,0,0,0,0,0,APOD
chr9_232,1,chr9,35053928,35072668,0,0,0,0,0,0,0,0,0,VCP
chr2_1292,1,chr2,161244720,161249095,0,0,0,0,0,0,0,0,0,LINC01806
chr6_650,2,chr6,45880827,46080348,0,0,0,0,0,0,0,0,0,CLIC5;RNU6-754P
chr3_1275,1,chr3,195614947,195620233,0,0,0,0,0,0,0,0,0,MUC20P1
chr9_233,1,chr9,35073835,35080004,0,0,0,0,0,0,0,0,0,FANCG
chr2_1293,3,chr2,161308425,161411717,0,0,0,0,0,0,0,0,0,PSMD14;MXRA7P1;RNA5SP108
chr6_651,1,chr6,46129989,46146688,0,0,0,0,0,0,0,0,0,ENPP4
chr9_234,1,chr9,35087237,35096619,0,0,0,0,0,0,0,0,0,PIGO
chr3_1276,5,chr3,195658062,195741123,0,0,0,0,0,0,0,0,0,MUC20-OT1;SDHAP2;MIR570;SMBD1P;MUC20
chr2_1294,5,chr2,161416297,161985282,0,0,0,0,0,0,0,0,0,TBR1;SLC4A10;AHCTF1P1;KRT18P46;RPEP5
chr6_652,1,chr6,46159185,46170980,0,0,0,0,0,0,0,0,0,ENPP5
chr9_235,1,chr9,35099776,35103195,0,0,0,0,0,0,0,0,0,STOML2
chr3_1277,1,chr3,195746765,195811973,0,0,0,0,0,0,0,0,0,MUC4
chr2_1295,3,chr2,161992245,162078036,0,0,0,0,0,0,0,0,0,DPP4;DPP4-DT;TIMM8AP1
chr6_653,1,chr6,46204729,46207386,0,0,0,0,0,0,0,0,0,ACTG1P9
chr9_236,1,chr9,35104112,35116341,0,0,0,0,0,0,0,0,0,FAM214B
chr3_1278,2,chr3,195836193,195860404,0,0,0,0,0,0,0,0,0,LINC01983;KIF3AP1
chr2_1296,1,chr2,162088259,162090072,0,0,0,0,0,0,0,0,0,EIF3EP2
chr6_654,1,chr6,46220736,46491972,0,0,0,0,0,0,0,0,0,RCAN2
chr9_237,1,chr9,35161992,35405338,0,0,0,0,0,0,0,0,0,UNC13B
chr3_1279,3,chr3,195863364,195913986,0,0,0,0,0,0,0,0,0,TNK2;MIR6829;TNK2-AS1
chr2_1297,1,chr2,162142882,162152404,0,0,0,0,0,0,0,0,0,GCG
chr6_655,2,chr6,46492052,46652830,0,0,0,0,0,0,0,0,0,RCAN2-DT;CYP39A1
chr9_238,2,chr9,35433707,35482210,0,0,0,0,0,0,0,0,0,ATP8B5P;ZFAND6P1
chr3_1280,1,chr3,195928589,195928775,0,0,0,0,0,0,0,0,0,RNU2-11P
chr2_1298,1,chr2,162170684,162245151,0,0,0,0,0,0,0,0,0,FAP
chr6_656,1,chr6,46652915,46678190,0,0,0,0,0,0,0,0,0,SLC25A27
chr9_239,3,chr9,35490111,35563899,0,0,0,0,0,0,0,0,0,RUSC2;RPL36AP33;FAM166B
chr3_1281,1,chr3,195963335,195990258,0,0,0,0,0,0,0,0,0,SDHAP1
chr2_1299,1,chr2,162267074,162318684,0,0,0,0,0,0,0,0,0,IFIH1
chr6_657,2,chr6,46687875,46735693,0,0,0,0,0,0,0,0,0,TDRD6;PLA2G7
chr9_240,1,chr9,35592786,35592951,0,0,0,0,0,0,0,0,0,RPS29P17
chr3_1282,2,chr3,196012511,196082153,0,0,0,0,0,0,0,0,0,TFRC;RNU7-18P
chr2_1300,4,chr2,162318840,162838767,0,0,0,0,0,0,0,0,0,GCA;KCNH7;RNA5SP109;KCNH7-AS1
chr6_658,1,chr6,46746933,46759506,0,0,0,0,0,0,0,0,0,ANKRD66
chr9_241,3,chr9,35605262,35646810,0,0,0,0,0,0,0,0,0,TESK1;MIR4667;CD72
chr3_1283,1,chr3,196142516,196160893,0,0,0,0,0,0,0,0,0,LINC00885
chr2_1301,1,chr2,163152251,163153307,0,0,0,0,0,0,0,0,0,RPL7P61
chr6_659,1,chr6,46793389,46839778,0,0,0,0,0,0,0,0,0,MEP1A
chr9_242,1,chr9,35649295,35650931,0,0,0,0,0,0,0,0,0,SIT1
chr3_1284,1,chr3,196197452,196211437,0,0,0,0,0,0,0,0,0,ZDHHC19
chr2_1302,1,chr2,163288995,163289096,0,0,0,0,0,0,0,0,0,RNU6-627P
chr6_660,2,chr6,46852522,46954943,0,0,0,0,0,0,0,0,0,ADGRF5;ADGRF5-AS1
chr9_243,1,chr9,35657754,35658017,0,0,0,0,0,0,0,0,0,RMRP
chr3_1285,2,chr3,196211487,196287957,0,0,0,0,0,0,0,0,0,SLC51A;PCYT1A
chr2_1303,1,chr2,163593396,163736012,0,0,0,0,0,0,0,0,0,FIGN
chr6_661,1,chr6,46997708,47042350,0,0,0,0,0,0,0,0,0,ADGRF1
chr9_244,4,chr9,35658290,35681159,0,0,0,0,0,0,0,0,0,CCDC107;ARHGEF39;RN7SL22P;CA9
chr3_1286,4,chr3,196291219,196338503,0,0,0,0,0,0,0,0,0,DYNLT2B;TM4SF19-DYNLT2B;TM4SF19-AS1;TM4SF19
chr2_1304,1,chr2,164213539,164214414,0,0,0,0,0,0,0,0,0,PRPS1P1
chr6_662,1,chr6,47231532,47309905,0,0,0,0,0,0,0,0,0,TNFRSF21
chr9_245,1,chr9,35681992,35690056,0,0,0,0,0,0,0,0,0,TPM2
chr3_1287,1,chr3,196341609,196341715,0,0,0,0,0,0,0,0,0,RNU6-910P
chr2_1305,1,chr2,164321933,164322223,0,0,0,0,0,0,0,0,0,CYP2C56P
chr6_663,1,chr6,47368943,47369230,0,0,0,0,0,0,0,0,0,B3GNTL1P2
chr9_246,2,chr9,35696948,35732195,0,0,0,0,0,0,0,0,0,TLN1;MIR6852
chr3_1288,5,chr3,196347662,196432530,0,0,0,0,0,0,0,0,0,UBXN7;RNU6-1279P;RN7SL434P;RN7SL738P;UBXN7-AS1
chr2_1306,1,chr2,164492417,164621482,0,0,0,0,0,0,0,0,0,GRB14
chr6_664,2,chr6,47477208,47627263,0,0,0,0,0,0,0,0,0,CD2AP-DT;CD2AP
chr9_247,3,chr9,35732598,35749228,0,0,0,0,0,0,0,0,0,CREB3;MIR6853;GBA2
chr3_1289,1,chr3,196468783,196503768,0,0,0,0,0,0,0,0,0,RNF168
chr2_1307,2,chr2,164653624,164843679,0,0,0,0,0,0,0,0,0,COBLL1;SNORA70F
chr6_665,3,chr6,47673420,47722021,0,0,0,0,0,0,0,0,0,ADGRF2;ADGRF4;RN7SKP116
chr9_248,2,chr9,35749287,35758585,0,0,0,0,0,0,0,0,0,RGP1;MSMP
chr3_1290,1,chr3,196506879,196515346,0,0,0,0,0,0,0,0,0,SMCO1
chr2_1308,1,chr2,164858432,164858546,0,0,0,0,0,0,0,0,0,RNA5SP110
chr6_666,2,chr6,47781982,47832780,0,0,0,0,0,0,0,0,0,OPN5;RNU1-105P
chr3_1291,1,chr3,196536532,196536702,0,0,0,0,0,0,0,0,0,RPS29P3
chr9_249,2,chr9,35791003,35812272,0,0,0,0,0,0,0,0,0,NPR2;SPAG8
chr2_1309,2,chr2,164894354,164955525,0,0,0,0,0,0,0,0,0,SLC38A11;RNA5SP111
chr6_667,1,chr6,47856673,48111197,0,0,0,0,0,0,0,0,0,PTCHD4
chr3_1292,2,chr3,196554177,196589059,0,0,0,0,0,0,0,0,0,WDR53;FBXO45
chr9_250,4,chr9,35812960,35865518,0,0,0,0,0,0,0,0,0,HINT2;TMEM8B;FAM221B;OR13E1P
chr2_1310,3,chr2,165087526,165392310,0,0,0,0,0,0,0,0,0,SCN3A;SCN2A;MAPRE1P3
chr6_668,1,chr6,48149203,48150005,0,0,0,0,0,0,0,0,0,HNRNPA3P4
chr3_1293,1,chr3,196631498,196632700,0,0,0,0,0,0,0,0,0,LINC01063
chr9_251,1,chr9,35869463,35870401,0,0,0,0,0,0,0,0,0,OR13J1
chr2_1311,1,chr2,165469647,165689407,0,0,0,0,0,0,0,0,0,CSRNP3
chr6_669,1,chr6,48213604,48214794,0,0,0,0,0,0,0,0,0,RBMXP1
chr3_1294,4,chr3,196639694,196736007,0,0,0,0,0,0,0,0,0,NRROS;PIGX;CEP19;RNU6-646P
chr9_252,1,chr9,35874810,35875194,0,0,0,0,0,0,0,0,0,NDUFA5P4
chr2_1312,1,chr2,165747588,165794659,0,0,0,0,0,0,0,0,0,GALNT3
chr6_670,1,chr6,49344800,49344861,0,0,0,0,0,0,0,0,0,RNU7-65P
chr3_1295,3,chr3,196739857,196832647,0,0,0,0,0,0,0,0,0,PAK2;RNU4-89P;RNU6-42P
chr9_253,1,chr9,35906202,35907136,0,0,0,0,0,0,0,0,0,HRCT1
chr2_1313,2,chr2,165857475,165953851,0,0,0,0,0,0,0,0,0,TTC21B;TTC21B-AS1
chr6_671,1,chr6,49358185,49360420,0,0,0,0,0,0,0,0,0,EEF1A1P42
chr3_1296,1,chr3,196867856,196934714,0,0,0,0,0,0,0,0,0,SENP5
chr9_254,1,chr9,35909490,35937153,0,0,0,0,0,0,0,0,0,SPAAR
chr2_1314,4,chr2,165957188,166390771,0,0,0,0,0,0,0,0,0,SCN1A-AS1;SCN1A;RN7SKP152;SCN9A
chr6_672,1,chr6,49430360,49463253,0,0,0,0,0,0,0,0,0,MMUT
chr3_1297,2,chr3,196935402,196942594,0,0,0,0,0,0,0,0,0,NCBP2;NCBP2-AS1
chr9_255,1,chr9,35943210,35943934,0,0,0,0,0,0,0,0,0,PGAM1P2
chr2_1315,1,chr2,166403573,166611482,0,0,0,0,0,0,0,0,0,SCN7A
chr6_673,1,chr6,49463370,49493107,0,0,0,0,0,0,0,0,0,CENPQ
chr3_1298,1,chr3,196942674,196943543,0,0,0,0,0,0,0,0,0,NCBP2AS2
chr9_256,1,chr9,35957108,35958154,0,0,0,0,0,0,0,0,0,OR2S2
chr2_1316,2,chr2,166888480,167259753,0,0,0,0,0,0,0,0,0,XIRP2;XIRP2-AS1
chr6_674,1,chr6,49499923,49528078,0,0,0,0,0,0,0,0,0,GLYATL3
chr3_1299,1,chr3,196946356,196969060,0,0,0,0,0,0,0,0,0,PIGZ
chr9_257,1,chr9,35971344,35972318,0,0,0,0,0,0,0,0,0,YBX1P10
chr2_1317,4,chr2,167293001,167941180,0,0,0,0,0,0,0,0,0,B3GALT1;RNU7-148P;CTAGE14P;B3GALT1-AS1
chr6_675,1,chr6,49550666,49561907,0,0,0,0,0,0,0,0,0,C6orf141
chr3_1300,3,chr3,196980590,197029835,0,0,0,0,0,0,0,0,0,MELTF;RPSAP69;MELTF-AS1
chr9_258,1,chr9,35991336,35992285,0,0,0,0,0,0,0,0,0,OR13C6P
chr2_1318,2,chr2,167954020,168247595,0,0,0,0,0,0,0,0,0,STK39;PHF5GP
chr6_676,1,chr6,49565924,49580166,0,0,0,0,0,0,0,0,0,CYP2AC1P
chr9_259,1,chr9,36002909,36003867,0,0,0,0,0,0,0,0,0,OR13C7
chr2_1319,1,chr2,168451324,168451606,0,0,0,0,0,0,0,0,0,RN7SL813P
chr6_677,1,chr6,49605175,49636839,0,0,0,0,0,0,0,0,0,RHAG
chr3_1301,3,chr3,197042560,197303755,0,0,0,0,0,0,0,0,0,DLG1;MIR4797;DLG1-AS1
chr9_260,1,chr9,36013184,36014133,0,0,0,0,0,0,0,0,0,OR2S1P
chr2_1320,7,chr2,168456249,168913371,0,0,0,0,0,0,0,0,0,CERS6;MIR4774;RNU6-766P;CERS6-AS1;NOSTRIN;SPC25;G6PC2
chr6_678,1,chr6,49692358,49713590,0,0,0,0,0,0,0,0,0,CRISP2
chr3_1302,1,chr3,197505262,197506986,0,0,0,0,0,0,0,0,0,LINC02012
chr9_261,1,chr9,36021692,36022113,0,0,0,0,0,0,0,0,0,OR2AM1P
chr2_1321,1,chr2,168915498,169031324,0,0,0,0,0,0,0,0,0,ABCB11
chr6_679,1,chr6,49727376,49744437,0,0,0,0,0,0,0,0,0,CRISP3
chr3_1303,1,chr3,197509783,197573323,0,0,0,0,0,0,0,0,0,BDH1
chr9_262,1,chr9,36036913,36124455,0,0,0,0,0,0,0,0,0,RECK
chr2_1322,1,chr2,169064789,169096167,0,0,0,0,0,0,0,0,0,DHRS9
chr6_680,1,chr6,49785660,49787285,0,0,0,0,0,0,0,0,0,PGK2
chr3_1304,3,chr3,197668867,197787596,0,0,0,0,0,0,0,0,0,RUBCN;MIR922;FYTTD1
chr9_263,1,chr9,36136536,36163913,0,0,0,0,0,0,0,0,0,GLIPR2
chr2_1323,1,chr2,169115195,169115680,0,0,0,0,0,0,0,0,0,UBE2V1P6
chr6_681,1,chr6,49834257,49877096,0,0,0,0,0,0,0,0,0,CRISP1
chr3_1305,1,chr3,197791226,197888436,0,0,0,0,0,0,0,0,0,LRCH3
chr9_264,1,chr9,36169388,36171334,0,0,0,0,0,0,0,0,0,CCIN
chr2_1324,1,chr2,169127109,169362534,0,0,0,0,0,0,0,0,0,LRP2
chr6_682,1,chr6,49946101,49949444,0,0,0,0,0,0,0,0,0,DEFB133
chr3_1306,3,chr3,197889077,197960142,0,0,0,0,0,0,0,0,0,IQCG;RNU6-858P;RPL35A
chr9_265,4,chr9,36190856,36304924,0,0,0,0,0,0,0,0,0,CLTA;GNE;RNU4-53P;HMGB3P24
chr2_1325,1,chr2,169479480,169506655,0,0,0,0,0,0,0,0,0,BBS5
chr6_683,1,chr6,49960249,49964164,0,0,0,0,0,0,0,0,0,DEFB114
chr3_1307,3,chr3,197960200,198043720,0,0,0,0,0,0,0,0,0,LMLN;RNU6-621P;LMLN-AS1
chr9_266,1,chr9,36336396,36487548,0,0,0,0,0,0,0,0,0,RNF38
chr2_1326,1,chr2,169509702,169526258,0,0,0,0,0,0,0,0,0,KLHL41
chr6_684,1,chr6,49968677,49969625,0,0,0,0,0,0,0,0,0,DEFB113
chr3_1308,2,chr3,198053522,198080512,0,0,0,0,0,0,0,0,0,ANKRD18DP;RNU6-821P
chr9_267,1,chr9,36572862,36677683,0,0,0,0,0,0,0,0,0,MELK
chr2_1327,1,chr2,169528508,169573875,0,0,0,0,0,0,0,0,0,FASTKD1
chr6_685,1,chr6,50009138,50021994,0,0,0,0,0,0,0,0,0,DEFB110
chr3_1309,1,chr3,198110206,198111878,0,0,0,0,0,0,0,0,0,FRG2FP
chr9_268,1,chr9,36823539,36823599,0,0,0,0,0,0,0,0,0,MIR4475
chr2_1328,1,chr2,169584342,169641406,0,0,0,0,0,0,0,0,0,PPIG
chr6_686,1,chr6,50042099,50049929,0,0,0,0,0,0,0,0,0,DEFB112
chr3_1310,1,chr3,198119721,198120778,0,0,0,0,0,0,0,0,0,TUBB8P8
chr9_269,3,chr9,36833269,37034268,0,0,0,0,0,0,0,0,0,PAX5;MIR4540;MIR4476
chr2_1329,1,chr2,169645425,169694405,0,0,0,0,0,0,0,0,0,CCDC173
chr6_687,1,chr6,50713526,50773033,0,0,0,0,0,0,0,0,0,TFAP2D
chr3_1311,1,chr3,198180755,198190365,0,0,0,0,0,0,0,0,0,FAM157A
chr9_270,1,chr9,37046835,37047237,0,0,0,0,0,0,0,0,0,RPL32P21
chr2_1330,3,chr2,169694454,169776989,0,0,0,0,0,0,0,0,0,PHOSPHO2;KLHL23;PTCHD3P2
chr6_688,1,chr6,50818723,50847619,0,0,0,0,0,0,0,0,0,TFAP2B
chr3_1312,1,chr3,198196746,198196849,0,0,0,0,0,0,0,0,0,RNU6-860P
chr9_271,1,chr9,37073531,37075792,0,0,0,0,0,0,0,0,0,LINC01400
chr2_1331,1,chr2,169790093,169790885,0,0,0,0,0,0,0,0,0,CYB5AP2
chr6_689,1,chr6,50857255,50857662,0,0,0,0,0,0,0,0,0,RPS17P5
chr3_1313,1,chr3,198223497,198226310,0,0,0,0,0,0,0,0,0,CICP6
chr9_272,1,chr9,37079645,37090928,0,0,0,0,0,0,0,0,0,EBLN3P
chr2_1332,2,chr2,169791933,169824931,0,0,0,0,0,0,0,0,0,SSB;METTL5
chr6_690,1,chr6,50912712,50913256,0,0,0,0,0,0,0,0,0,FTH1P5
chr3_1314,1,chr3,198228194,198228376,0,0,0,0,0,0,0,0,0,SEPTIN14P3
chr9_273,2,chr9,37120574,37358149,0,0,0,0,0,0,0,0,0,ZCCHC7;RNU6-677P
chr2_1333,2,chr2,169827454,170084131,0,0,0,0,0,0,0,0,0,UBR3;NSA2P5
chr6_691,2,chr6,51615299,52087613,0,0,0,0,0,0,0,0,0,PKHD1;RN7SL580P
chr16_0,1,chr16,11861,13351,0,0,0,0,0,0,0,0,0,DDX11L10
chr9_274,1,chr9,37383178,37384434,0,0,0,0,0,0,0,0,0,LINC01627
chr2_1334,1,chr2,170119996,170120098,0,0,0,0,0,0,0,0,0,RNU6-1006P
chr6_692,1,chr6,52144349,52144434,0,0,0,0,0,0,0,0,0,MIR206
chr16_1,2,chr16,14381,18068,0,0,0,0,0,0,0,0,0,WASH4P;MIR6859-4
chr9_275,2,chr9,37422666,37436990,0,0,0,0,0,0,0,0,0,GRHPR;CHCHD4P3
chr6_693,2,chr6,52146814,52151119,0,0,0,0,0,0,0,0,0,LINCMD1;MIR133B
chr16_2,1,chr16,22910,25123,0,0,0,0,0,0,0,0,0,WASIR2
chr2_1335,3,chr2,170178145,170655171,0,0,0,0,0,0,0,0,0,MYO3B;MYO3B-AS1;HMGB1P4
chr9_276,1,chr9,37438102,37465450,0,0,0,0,0,0,0,0,0,ZBTB5
chr6_694,1,chr6,52186375,52190638,0,0,0,0,0,0,0,0,0,IL17A
chr16_3,1,chr16,29336,38321,0,0,0,0,0,0,0,0,0,IL9RP3
chr2_1336,1,chr2,170712451,170714567,0,0,0,0,0,0,0,0,0,LINC01124
chr9_277,1,chr9,37477149,37478317,0,0,0,0,0,0,0,0,0,KCTD9P3
chr6_695,1,chr6,52236681,52245689,0,0,0,0,0,0,0,0,0,IL17F
chr16_4,1,chr16,46407,53608,0,0,0,0,0,0,0,0,0,POLR3K
chr2_1337,1,chr2,170715337,170718078,0,0,0,0,0,0,0,0,0,SP5
chr9_278,1,chr9,37485948,37503697,0,0,0,0,0,0,0,0,0,POLR1E
chr6_696,1,chr6,52246460,52247362,0,0,0,0,0,0,0,0,0,SLC25A20P1
chr2_1338,1,chr2,170751805,170752788,0,0,0,0,0,0,0,0,0,EIF2S2P4
chr16_5,1,chr16,53828,57669,0,0,0,0,0,0,0,0,0,SNRNP25
chr9_279,1,chr9,37510892,37576380,0,0,0,0,0,0,0,0,0,FBXO10
